Split,Difficulty,Rows,Prevalence,Accuracy,Balanced accuracy,Precision,Sensitivity,Specificity,F1,MCC,Brier score,ROC-AUC,Average precision,Log loss
Validation,easy,48,1.0,1.0,,1.0,1.0,,1.0,,4.901316010623762e-10,,,
Validation,moderate,144,0.5902777777777778,0.8541666666666666,0.8635094715852443,0.9324324324324325,0.8117647058823529,0.9152542372881356,0.8679245283018868,0.7153462680170675,0.14342031964254046,0.8895314057826521,0.9340976174840783,0.44764873651779563
Validation,hard,48,0.0,1.0,,0.0,,1.0,0.0,,0.00013412239527606188,,,
External test,easy,96,1.0,1.0,,1.0,1.0,,1.0,,1.0069734904810259e-07,,,
External test,moderate,288,0.7673611111111112,0.8020833333333334,0.7046329438778955,0.8596491228070176,0.8868778280542986,0.5223880597014925,0.8730512249443207,0.42579056844007424,0.1486801975846791,0.8425069224015669,0.9417359685932745,0.4542706058290571
External test,hard,96,0.041666666666666664,0.9583333333333334,0.5,0.0,0.0,1.0,0.0,0.0,0.031323876380197006,0.9891304347826088,0.8166666666666667,0.09705563828453868
