Model,Nested CV ROC-AUC mean,Nested CV ROC-AUC SD,Nested CV average precision mean,Nested CV balanced accuracy mean,Nested CV F1 mean,Pooled nested OOF ROC-AUC,Pooled nested OOF average precision,Pooled nested OOF balanced accuracy,Pooled nested OOF F1,Within one SE of best
Logistic regression,0.9441193460261632,0.016498736832382677,0.951569612934238,0.8379975283476193,0.8523036517140735,0.9342796321823035,0.9464003860214415,0.8515511856362653,0.8585558852621167,True
Extra trees,0.9396824491504623,0.03041660291661905,0.9413883831505887,0.8398386537156781,0.8550048972531586,0.9341313185950342,0.9469743765619558,0.8513374395840241,0.8618677042801557,True
RBF SVM,0.9391381293245713,0.0192153697840224,0.9472771503539281,0.8402222449351919,0.8507080122678328,0.9340179023224163,0.9469722007434728,0.8494573467571671,0.8565776458951533,True
Gradient boosting,0.9326433583110239,0.029540742716367967,0.9389841098565453,0.790038441480036,0.8102768408205321,0.9252259601123693,0.9411869135944342,0.8085533318211164,0.8181818181818182,False
Random forest,0.9276106131586614,0.026824955483609685,0.9370280072972845,0.8055996150827461,0.8308170028887798,0.9236904782676973,0.9362315458031669,0.8216616356371377,0.8385864374403056,False
K-nearest neighbors,0.8944025996981143,0.04850510763165307,0.9042640960963976,0.8079576522007536,0.8278612393699747,0.8974847760464832,0.9112275389017805,0.8097747378339237,0.8288973384030418,False
Dummy prior,0.5,0.0,0.5354166666666667,0.5,0.6950008895686595,0.42629687145574147,0.4941938229571985,0.5,0.6974219810040706,False
