Reference model,Comparison model,Pooled OOF AUC difference,95% CI low,95% CI high,Bootstrap probability reference is better,Valid bootstrap replicates
Logistic regression,Dummy prior,0.507982760726562,0.37409464718511576,0.6358383180156107,1.0,2000
Logistic regression,K-nearest neighbors,0.03679485613582023,0.009028417611698505,0.06696501747904031,0.9945,2000
Logistic regression,Random forest,0.010589153914606131,4.315942360335897e-05,0.023494526700361833,0.975,2000
Logistic regression,Gradient boosting,0.009053672069934127,-0.007214495719627295,0.02865690699615244,0.8475,2000
Logistic regression,RBF SVM,0.0002617298598871498,-0.006521155319540889,0.006834908367999395,0.5965,2000
Logistic regression,Extra trees,0.00014831358726929977,-0.013354645261518795,0.013403261804365093,0.509,2000
