Routing method,Mean regret,Feasible selected,Tie-aware top-1,Mean selected success,Regret reduction vs random (%)
Random route,0.13083333333333333,0.66875,0.6333333333333333,0.6308333333333334,0.0
Minimum hop,0.06833333333333333,0.7666666666666667,0.7166666666666667,0.6933333333333334,47.77070063694268
Minimum fibre loss,0.07333333333333333,0.775,0.7,0.6883333333333332,43.94904458598726
Maximum bottleneck success,0.07833333333333334,0.7416666666666667,0.7666666666666667,0.6833333333333333,40.12738853503184
Learned model,0.07,0.7666666666666667,0.7,0.6916666666666667,46.4968152866242
Oracle,0.0,0.8166666666666667,1.0,0.7616666666666667,100.0
