dataset_name,dataset_version,experiment_fingerprint,topology_id,scenario_id,scenario_index,scenario_group_id,pair_id,source,destination,endpoint_pair_string,ranking_group_id,route_id,local_route_id,route_number,path_string,split,difficulty,hop_count,total_fibre_loss_db,maximum_link_loss_db,bottleneck_link_success_estimate,min_memory_requirement_margin,mean_reservation_occupancy_pre,fidelity_margin_estimate,deadline_margin_ms,route_degraded_link_fraction,route_contains_hotspot,effective_efficiency,coherence_time_s,feasible_label,success_probability,rollout_count,success_count,success_probability_wilson_lower,success_probability_wilson_upper
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03_route_03,route_03,3,R1 -> R4 -> R6 -> R7,train,hard,3,8.44,3.23,0.0689289927382844,6,0.0,0.0754474263310786,1.6102553168811566,0.0,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_03,R1,R7,R1 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03_route_04,route_04,4,R1 -> R4 -> R5 -> R6 -> R7,train,hard,4,8.86,3.0,0.0726778267246953,6,0.0,3.7849248285537485e-06,1.521003645482083,0.0,0,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_04,pair_04_route_01,route_01,1,R2 -> R5 -> R6 -> R7,train,hard,3,5.959999999999999,2.21,0.08717700251068332,2,0.15625,0.0754474263310786,1.7035789768076177,0.0,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_04,pair_04_route_02,route_02,2,R2 -> R4 -> R3 -> R7,train,hard,3,14.031595997133975,9.311595997133974,0.01699191521776925,2,0.15625,0.0754474263310786,1.6559114824797239,0.3333333333333333,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_04,pair_04_route_03,route_03,3,R2 -> R4 -> R6 -> R7,train,hard,3,7.96,3.23,0.0689289927382844,2,0.15625,0.0754474263310786,1.6102553168811566,0.0,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_001,1,train_mesh_8node_multipair_01::scenario_001,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_001::pair_04,pair_04_route_04,route_04,4,R2 -> R5 -> R4 -> R3 -> R7,train,hard,4,15.611595997133975,9.311595997133974,0.01699191521776925,2,0.125,3.7849248285537485e-06,1.5159114824797237,0.25,1,0.538537517351619,0.13973932909426923,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_01,pair_01_route_01,route_01,1,R0 -> R1 -> R3 -> R7,train,moderate,3,11.879999999999999,4.199999999999999,0.10123191333552327,2,0.125,0.11794803899454798,8.814377246078168,0.0,1,0.7297493561555969,0.08185659029252004,0,0.4,5,2,0.11762077423264783,0.769275718723987
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_01,pair_01_route_02,route_02,2,R0 -> R1 -> R4 -> R3 -> R7,train,moderate,4,13.24,4.199999999999999,0.10123191333552327,2,0.1,0.04250439758829794,8.636762091103972,0.0,1,0.7297493561555969,0.08185659029252004,0,0.4,5,2,0.11762077423264783,0.769275718723987
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_01,pair_01_route_03,route_03,3,R0 -> R2 -> R5 -> R6 -> R7,train,moderate,4,10.038447492150418,3.016247133791675,0.13295134399429023,6,0.0,0.04250439758829794,8.596734005251509,1.0,0,0.7297493561555969,0.08185659029252004,1,1.0,5,5,0.5655175352168251,1.0
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_01,pair_01_route_04,route_04,4,R0 -> R2 -> R4 -> R3 -> R7,train,moderate,4,11.936247133791674,4.199999999999999,0.10123191333552327,2,0.1,0.04250439758829794,8.596734005251509,0.25,1,0.7297493561555969,0.08185659029252004,1,0.6,5,3,0.2307242812760128,0.882379225767352
